cv_method,cv_variant,fold,train_csir,test_csir,train_n,test_n,overfit_ratio,weight_concentration_hhi,max_weight,max_weight_factor,return_col_used,n_draws,dirichlet_alpha,w_ESG_composite,w_financial_score,w_market_score,w_operational_score
leave5out,ex_market,15,0.29607319872181154,-0.11796908511666425,271,5,-2.5097524379373493,0.47163419510315496,0.6185572837929916,financial_score,price_momentum_6m,2000,2.0,0.2809206067037594,0.6185572837929916,,0.10052210950324901
leave5out,ex_market,16,0.29607319872181154,0.34239230322773506,271,5,0.8647192002981817,0.5073170657921179,0.661407610709779,financial_score,price_momentum_6m,2000,2.0,0.24846258664534315,0.661407610709779,,0.0901298026448779
leave5out,ex_market,17,0.29607319872181154,0.21734875142511523,271,5,1.362203355870666,0.5249261868166011,0.6808323057814493,financial_score,price_momentum_6m,2000,2.0,0.23190102938473173,0.6808323057814493,,0.08726666483381894
leave5out,ex_market,18,0.29607319872181154,-1.4019292796374985,271,5,-0.2111898246532715,0.46825206414180465,0.6147273283649535,financial_score,price_momentum_6m,2000,2.0,0.2824830390088149,0.6147273283649535,,0.10278963262623174
leave5out,ex_market,19,0.29607319872181154,-0.14836300809117847,271,5,-1.9955998650244122,0.5003708448140857,0.6546863777565243,financial_score,price_momentum_6m,2000,2.0,0.2505536747963184,0.6546863777565243,,0.09475994744715717
leave5out,ex_market,20,0.28061703595646464,-0.43437821363939805,271,5,-0.64602005167327,0.7637270634102986,0.8646920387929308,operational_score,price_momentum_6m,2000,2.0,0.12630813337815272,0.008999827828916406,,0.8646920387929308
leave5out,ex_market,21,0.2760179500214489,-0.5987153950107219,271,5,-0.46101695791972686,0.7139377426096499,0.827890099342888,financial_score,price_momentum_6m,2000,2.0,0.16889460589149397,0.827890099342888,,0.0032152947656180534
leave5out,ex_market,22,0.28061703595646464,-0.5914963347581551,271,5,-0.47441889241569407,0.7608991571123528,0.8642242490837869,operational_score,price_momentum_6m,2000,2.0,0.11686785677438834,0.018907894141824717,,0.8642242490837869
leave5out,ex_market,23,0.29607319872181154,-0.04096943555146655,271,5,-7.226684855654101,0.47446773950211396,0.6215552510421543,financial_score,price_momentum_6m,2000,2.0,0.2801250570497775,0.6215552510421543,,0.09831969190806825
leave5out,ex_market,24,0.29607319872181154,-0.3922721257834026,271,5,-0.7547648158940768,0.4761285536811784,0.621415986812709,financial_score,price_momentum_6m,2000,2.0,0.28496801584953985,0.621415986812709,,0.09361599733775108
leave5out,ex_market,25,0.29607319872181154,-0.1723748982667191,271,5,-1.7176120297716018,0.4921819169880688,0.643129416028156,financial_score,price_momentum_6m,2000,2.0,0.2647143867167703,0.643129416028156,,0.09215619725507368
leave5out,ex_market,26,0.29607319872181154,-0.0012888927968406276,271,5,-229.71128585611126,0.4837131085725485,0.6359361390724468,financial_score,price_momentum_6m,2000,2.0,0.2627384611085754,0.6359361390724468,,0.10132539981897774
leave5out,ex_market,27,0.29607319872181154,0.4484529839035324,271,5,0.6602101207547755,0.5244316573438433,0.6819729196293972,financial_score,price_momentum_6m,2000,2.0,0.2252479055535684,0.6819729196293972,,0.09277917481703438
leave5out,ex_market,28,0.3642827836799296,-1.0492857730095042,271,5,-0.34717213659519164,0.4462855678583408,0.5560413888243045,financial_score,price_momentum_6m,2000,2.0,0.36082079354111257,0.5560413888243045,,0.08313781763458292
